"","GSM1317914","GSM1317915","GSM1317916","GSM1317917","GSM1317918","GSM1317919","GSM1317920","GSM1317921","GSM1317922","GSM1317945","GSM1317946","GSM1317947","GSM1317948","GSM1317949","GSM1317950","GSM1317951","GSM1317952","GSM1317953","GSM1317954","GSM1317955","GSM1317956","GSM1317957","GSM1317958","GSM1317959","GSM1317960","GSM1317961","GSM1317962","GSM1317963","GSM1317964","GSM1317965","GSM1317966","GSM1317967","GSM1317968","GSM1317969","GSM1317970"
"ILMN_1802082",7.27104208873611,7.13873342500875,7.0697595732263,7.7614550652113,7.44885299948148,7.42475619081834,7.4000270535902,7.39910542963398,7.40280768535288,8.79472109534148,8.53931685458979,8.34572514363953,8.27199588655941,7.94242797887577,7.95809480823887,8.00339087226752,8.4561741200919,8.3290660187234,8.10353140247714,8.14321297571397,8.14215543207274,8.10702104900063,8.10898994514116,8.39492037019603,8.31565160243489,8.14670621415811,8.12384182567912,8.05915712974737,7.61449381459559,7.68155316783972,7.97966747918333,8.0444768251047,8.05706583356821,7.93239773189857,7.54853042507952
"ILMN_2324421",7.24620880750985,7.4651124868832,7.331499748332,7.06357021480688,7.78236826951866,7.648417442666,7.30817874409534,7.33225504300755,7.38020780974514,7.55492034158188,6.76472241149388,6.97553847861413,6.67213546491522,6.13580769167707,6.53236883795892,6.49078560158724,6.63213153128316,6.79334166282762,6.7309064394685,6.76648232825537,6.60185533249945,6.73656245146908,6.83136817563086,6.57846539336212,6.75541954017394,6.49414512529062,6.39190741613067,6.3009767816025,6.47111551678967,6.19243051824008,6.07243321929407,6.43412266111624,6.33268096791647,6.3571019522884,6.30887676754132
"ILMN_1736700",10.5547193690515,10.6481103541176,10.4075948574078,10.4529651408822,11.8956678137514,11.2708311204785,11.0899421376971,11.5665616843904,11.0539612702995,10.4110929654979,10.6843668910646,9.90855892752718,9.32626953936946,10.482164553504,9.29109815990451,9.35185654971156,9.4327593490979,10.1072075864352,9.54551946607877,10.066860446736,9.82766937590343,9.96571211545946,9.40947412580222,9.9014626089222,9.99842265747356,10.1161640459698,9.4373806919268,9.99156543468331,9.42458627552406,9.41676753839082,9.38578097825591,9.3274750863519,9.86034699992621,9.42361782846162,9.61175764040251
"ILMN_2148459",12.3805145104743,12.7813194434792,12.6736899036127,12.9657481074608,12.5350096518678,13.3638661788315,13.0037370343542,12.6900227712246,12.754604849406,12.7869853543086,13.0180336024916,13.7371732187841,13.7745392337426,13.3944909547568,13.5276272067933,13.3479377012485,13.3877253072553,13.5544987797858,13.4681250795231,13.6060102972759,13.7832787315641,13.5544987797858,13.570837656221,13.666509847415,13.666509847415,13.6234143385669,13.9631080207331,13.5015448192282,13.7745392337426,13.700640996475,13.8874516634879,14.0810343841589,13.7935886696946,13.7290683474066,14.0946733857919
"ILMN_2342084",6.89014843940025,6.90268573141718,7.19781742053576,7.47485452462723,7.43805839618436,7.13024374608684,6.91407457641526,6.94062646344233,7.07094775655251,7.02883067065826,6.79437435636218,6.85173730857089,6.76237586036367,6.3432142848472,6.67686923210611,6.64272898952544,6.67533865052044,6.66162761222444,6.50632302830474,6.58706949373226,6.65491113959624,6.58731688787257,6.62538994361524,6.57410635880612,6.71085783218633,6.69272046340405,6.60230668942464,6.60866930193371,6.57062631135621,6.50905210715347,6.5875251774725,6.56991637268612,6.38888598552674,6.48806298317164,6.59975055565464
"ILMN_2306955",7.25879156758433,7.34240768282527,7.0697595732263,7.35725727393211,6.96708173948138,7.56852854336448,7.53651280661545,7.56203847679138,7.37342669867747,6.69893999864444,7.00129362010899,7.39479805992135,7.16939130143405,6.21905623074329,6.65571978606523,6.68343039320935,6.5663325641153,6.40861471872818,6.47649544158942,6.56956883640976,6.62082247802293,6.5239555281307,6.51794383694395,6.80553744132249,6.24581819506532,6.3752197245287,6.75743400371706,6.48678203773592,6.62403803181102,6.23296491736494,6.45814555873924,6.64547194897256,6.36110911942852,6.46394969526629,6.28424860089178
"ILMN_2073732",7.9365483869574,8.05781507569272,7.97930612840875,7.82449205448746,8.03164715644451,8.24643470354425,8.50892346225364,8.51507217396387,8.70697337950531,8.65813736021262,8.42419887203698,8.50208758801798,8.70176600774827,8.71063641697861,9.19559681112886,8.86707057506,9.1317938925893,9.02241304194725,8.81714511176414,8.90701137010537,8.92743453568147,8.87135719734917,8.84475836589927,8.72141462608682,8.76151706155199,8.86123101733095,9.16785647786412,9.15510886071267,9.17663179208511,8.6779097202111,8.98687935223228,9.27027254648979,8.94285354491624,9.21797835735436,9.00923745249342
"ILMN_1721657",7.90672207096835,8.11474538233147,8.06313995282223,8.07981735220912,7.82417727103464,7.59812167295529,8.14169052731456,8.08676254846826,8.14169052731456,8.61735531965634,8.50892346225364,8.09034356132517,8.27398346943904,8.94320032945634,8.81653696224803,8.97423126829718,8.68101434366901,8.66138232006134,8.74159592395006,8.8241587551426,8.68641474529151,8.57269673299059,8.59072853486524,8.22025906548134,8.5574066596909,8.50208758801798,9.00537081718179,8.79592995426964,8.90040609563804,8.82177934937275,8.62572530960831,8.32932348675229,9.02968665912972,9.08888087655223,8.72903428004868
"ILMN_1738883",7.06069834488782,7.20600169403478,7.05175917871719,7.28654524268312,7.24840299523264,7.40672532149249,7.34417075703308,7.38985274841413,7.24975109747884,7.00255679460207,7.19417878329732,7.157230288647,6.87010378107917,7.07848084687206,6.55506893812792,6.67143556174418,6.47272272393239,6.45940535537184,6.77160676550118,6.59357858006282,6.54813307275914,6.59218352089595,6.53001045744356,6.62044922528522,6.67213546491522,6.73350417854273,6.71085783218633,6.68154722716674,6.5535182789949,6.56191657129341,6.76353867354114,6.62205546154242,6.61527752685939,6.3571019522884,6.68002602092608
"ILMN_1672124",8.43152602596929,8.8843213941218,7.76833618748538,7.52260925436366,7.76433204470342,8.55028807063152,8.01008866052279,8.43451400485424,8.03617950944418,7.17360208951663,7.18708188799838,7.83585062048005,7.6744597736369,7.26051633503343,6.86090804764868,6.81728930063397,6.8520226558089,6.60555754012084,7.14698480803326,6.93689364470649,6.82320481589401,6.45979938340804,7.31868425013291,7.05150223282153,7.43764466665818,7.27270076559364,6.70953681942241,6.64772423215752,6.81570662749606,6.09522359988964,7.42743871316519,7.1805026837599,7.08342399323826,7.46130530168741,6.75345518836915
